repetition,repetition_seed,method,method_label,status,smoke_test,final_model_mse,paired_baseline_mse,improvement_percent,improved,total_fwi_update_count,candidate_fwi_update_evaluations,number_design_updates,runtime_fwi_seconds,runtime_design_seconds,runtime_total_seconds,rss_start_mb,peak_rss_mb,peak_rss_increase_mb,resumed_invocation,metadata_path,arrays_path
0,732827411,baseline,Fixed receiver layout,completed,False,3335.0126953125,3335.0126953125,0.0,False,100,100,0,165.8556790780276,0.0,167.67698520515114,280.796875,1654.203125,1373.40625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/baseline.npz
0,732827411,illumination,Stochastic illumination,completed,False,3158.24609375,3335.0126953125,5.300327696231947,True,100,100,5,169.35380673781037,182.9652990316972,357.32954987324774,425.13671875,10547.9453125,10122.80859375,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/illumination.npz
0,732827411,waveform_misfit,Waveform misfit,completed,False,3071.726806640625,3335.0126953125,7.894599293188129,True,100,100,5,,503.7423668997362,503.749196395278,590.27734375,68269.3125,67679.03515625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/waveform_misfit.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/waveform_misfit.npz
0,732827411,oracle,Oracle model error,completed,False,2951.037109375,3335.0126953125,11.51346699450931,True,100,100,5,,481.28791006840765,481.2941401079297,709.2109375,66509.515625,65800.3046875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/oracle.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_000/oracle.npz
1,789618308,baseline,Fixed receiver layout,completed,False,3473.09521484375,3473.09521484375,0.0,False,100,100,0,165.2295102821663,0.0,165.70736815966666,730.26953125,1961.4921875,1231.22265625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/baseline.npz
1,789618308,illumination,Stochastic illumination,completed,False,2340.080810546875,3473.09521484375,32.622612805271096,True,100,100,5,168.5980289010331,183.32621336448938,356.4573429636657,732.62109375,10731.82421875,9999.203125,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/illumination.npz
1,789618308,waveform_misfit,Waveform misfit,completed,False,2902.051025390625,3473.09521484375,16.441938793169985,True,100,100,5,,501.87913405988365,501.8862835932523,765.16796875,68413.26953125,67648.1015625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/waveform_misfit.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/waveform_misfit.npz
1,789618308,oracle,Oracle model error,completed,False,2579.9697265625,3473.09521484375,25.715548611051556,True,100,100,5,,478.03234865516424,478.03858129121363,854.06640625,66651.390625,65797.32421875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/oracle.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_001/oracle.npz
2,149505632,baseline,Fixed receiver layout,completed,False,3309.67529296875,3309.67529296875,0.0,False,100,100,0,165.45598533190787,0.0,165.82176801934838,871.84375,2101.5,1229.65625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/baseline.npz
2,149505632,illumination,Stochastic illumination,completed,False,2971.61767578125,3309.67529296875,10.21422306610221,True,100,100,5,167.61880297213793,183.05341425538063,355.1886599268764,872.57421875,10862.421875,9989.84765625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/illumination.npz
